log_id,topic_id,dimension,value_or_status,weight,source,source_url,consulted_at,scored_by,scored_at,notes
LOG-0001,TOPIC-0001,evergreen_score,9,1/7,Editorial assessment based on topic durability,https://en.wikipedia.org/wiki/Baarle-Nassau,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,"Judgment call: how time-sensitive is this topic's core content, based on the source material reviewed."
LOG-0002,TOPIC-0001,source_availability_score,9,1/7,Wikipedia (cross-checked against secondary sources),https://en.wikipedia.org/wiki/Baarle-Nassau,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,"Rich, multi-source coverage: Wikipedia (Baarle-Nassau, Belgium-Netherlands border) plus multiple independent travel/history write-ups."
LOG-0003,TOPIC-0001,visual_rights_availability_score,8,1/7,Wikimedia Commons category search,https://commons.wikimedia.org/wiki/Category:Baarle-Hertog,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,"Wikimedia Commons Category:Baarle-Hertog has 54 files (maps, church, nature) under CC licenses."
LOG-0004,TOPIC-0001,production_ease_score,7,1/7,Internal production/editorial assessment,,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,Preliminary judgment call by AI research assistant; not an externally sourced metric -- requires human confirmation before being treated as final.
LOG-0005,TOPIC-0001,monetization_safety_score,9,1/7,Internal production/editorial assessment,,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,Preliminary judgment call by AI research assistant; not an externally sourced metric -- requires human confirmation before being treated as final.
LOG-0006,TOPIC-0001,demand_score,NOT_MEASURED,1/7,,,,AI-assisted (Claude),2026-09-18,"No access to real YouTube search-trend or competition data in this environment -- left unmeasured rather than estimated, per the no-fabrication rule."
LOG-0007,TOPIC-0001,competition_score,NOT_MEASURED,1/7,,,,AI-assisted (Claude),2026-09-18,"No access to real YouTube search-trend or competition data in this environment -- left unmeasured rather than estimated, per the no-fabrication rule."
LOG-0008,TOPIC-0002,evergreen_score,8,1/7,Editorial assessment based on topic durability,https://en.wikipedia.org/wiki/Vaalserberg,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,"Judgment call: how time-sensitive is this topic's core content, based on the source material reviewed."
LOG-0009,TOPIC-0002,source_availability_score,8,1/7,Wikipedia (cross-checked against secondary sources),https://en.wikipedia.org/wiki/Vaalserberg,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,Solid single-topic Wikipedia article covering the Netherlands-Belgium-Germany tripoint and its history.
LOG-0010,TOPIC-0002,visual_rights_availability_score,8,1/7,Wikimedia Commons category search,https://commons.wikimedia.org/wiki/Category:Vaalserberg,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,Wikimedia Commons Category:Vaalserberg has 90 files under CC licenses.
