log_id,niche_id,criterion,value_or_status,weight,data_type,source,source_url,consulted_at,scored_by,scored_at,notes
NLOG-0001,NICHE-01,demand_viral_score,8,1/10,INFERRED,"CLEANUP (2026-09-21): the HypeAuditor figure previously cited here could not be independently verified -- direct fetch to hypeauditor.com returns HTTP 403 Forbidden (confirmed on two separate attempts across two review passes). Reclassified as an unverified secondary source rather than OBSERVED. Original Overseeros blog range (7.9-9M subscribers, consulted 2026-09-18) is the independent basis this score actually rests on.",https://www.overseeros.com/blog/best-faceless-youtube-channel-examples,2026-09-21,AI-assisted (Claude) -- pending human review,2026-09-21,"Score unchanged (8) -- this score never actually depended on the specific HypeAuditor digit; it was already 8 in the original pass based on the Overseeros blog's 7.9-9M subscriber range, a separate source. The HypeAuditor figure (~7.94M, NOT_PUBLICLY_AVAILABLE for independent verification -- site blocks direct fetch) falls within that pre-existing range and is noted here only as a secondary, unverified data point consistent with it, not as the basis for the score."
NLOG-0002,NICHE-01,monetization_feasibility_score,7,1/10,INFERRED,Shortimize - Faceless YouTube Channel Ideas,https://www.shortimize.com/blog/faceless-youtube-channel-ideas,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,Geography/geopolitics is ad-friendly but not in the top CPM tier (finance/tech/health rank higher per this source).
NLOG-0003,NICHE-01,production_ease_cost_score,6,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,"Requires custom maps and data visualization per video; moderate skill/tool requirement, not trivial."
NLOG-0004,NICHE-01,automation_capability_score,7,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,Research and scripting are well-suited to AI assistance (as already demonstrated in this project's Stage 2); map generation is semi-automatable from open geodata.
NLOG-0005,NICHE-01,visual_legal_availability_score,8,1/10,OBSERVED,Wikimedia Commons category search (Stage 2 research),https://commons.wikimedia.org/wiki/Category:Baarle-Hertog,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,Confirmed in Stage 2: Wikimedia Commons holds substantial CC-licensed maps/photos for European geography topics.
NLOG-0006,NICHE-01,long_and_shorts_potential_score,8,1/10,OBSERVED,Half as Interesting channel format,https://www.youtube.com/@HalfAsInteresting,2026-09-18,AI-assisted (Claude) -- pending human review,2026-09-18,Bite-sized 5-12 minute format observed; single geographic facts translate naturally to Shorts.
NLOG-0007,NICHE-01,competition_entry_difficulty_score,5,1/10,INFERRED,"CORRECTED SOURCE (2026-09-20 audit fix): the prior source_url (en.wikipedia.org/wiki/Geography_Now) was verified by direct fetch to be about ONLY that single channel -- it does not list or compare any other channel and did not actually support the claimed 7-channel sample. Replaced with a real, verified listicle: EarthGuessr blog, 'The Best YouTube Channels for Learning Geography'",https://www.earthguessr.com/blog/best-youtube-channels-learning-geography,2026-09-20,AI-assisted (Claude) -- pending human review,2026-09-20,"CORRECTED from the invalid 4 (2026-09-19 pass) to 5 -- this coincides numerically with the original pre-audit value of 5, but for an entirely different and now-verified reason, not a silent revert. Direct fetch of the new source confirms 9 distinct named channels (RealLifeLore, Atlas Pro, Wendover Productions, Geography Now, Map Men, Half as Interesting, CGP Grey, GeoWizard, Rainbolt) -- more than the fabricated citation's claimed 7, but scored 5 (moderate-high saturation) consistent with the relative crowding found across the 4 shortlisted niches under this same corrected method (Cities=5 named < Economics=7 named < Geography=9 named < Wildlife=15+/90 claimed)."
NLOG-0008,NICHE-01,sustainability_12mo_score,9,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,"Europe alone has 44+ countries, hundreds of borders/enclaves and infrastructure stories -- effectively inexhaustible topic supply."
NLOG-0009,NICHE-01,europe_international_fit_score,9,1/10,INFERRED,"SYMMETRY FIX (2026-09-20), RECLASSIFIED (2026-09-21): applying the identical method used for NICHE-06/NLOG-0059 (one real Spanish-language channel citation, adjacent-category demand proxy) -- Memorias de Pez real Spanish-language audience. The exact subscriber figure (~2.7M, sourced via HypeAuditor and one alternate estimate of 2.69M) could not be independently verified by direct fetch and is NOT_PUBLICLY_AVAILABLE at that precision -- downgraded from OBSERVED to INFERRED accordingly.",https://www.youtube.com/c/memoriasdepez,2026-09-21,AI-assisted (Claude) -- pending human review,2026-09-21,"Score remains 9 (unchanged by this cleanup): the +1 revision from 8 to 9 never depended on the precise digit -- it rests on the qualitative, still-real finding that a dedicated Spanish-language channel exists in an adjacent category (history/geopolitics/curiosities) with two independent, roughly-agreeing estimates both indicating an audience in the low millions, which is meaningfully more than the prior 'assumed gap, no evidence' basis for the original score of 8. Data_type downgraded from OBSERVED to INFERRED because neither underlying estimate could be independently fetched/confirmed -- this is an honest confidence correction, not a retraction of the finding. Memorias de Pez is adjacent (history/geopolitics/curiosities), not pure geography -- same caveat as VisualPolitik being adjacent (international politics/economics) for NICHE-06."
NLOG-0010,NICHE-01,originality_feasibility_score,8,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-18,"Fully achievable with original narration over open-licensed maps/data, as already demonstrated in this project's Stage 2 topic research."
NLOG-0011,NICHE-02,demand_viral_score,8,1/10,OBSERVED,"The B1M official site (primary, re-confirmed by direct fetch 2026-09-20) + WorthWatch engineering-channel listicle (secondary, directly fetched and confirmed)",https://www.theb1m.com/about,2026-09-20,AI-assisted (Claude) -- pending human review,2026-09-20,"CONFIRMED unchanged (8), evidence strengthened for parity with the other 3 shortlisted niches: The B1M re-verified at 4M subscribers/32M viewers-per-month directly from its official site. WorthWatch (real editorial listicle, directly fetched) additionally confirms several even larger real incumbents exist in this niche: Real Engineering (5.1M), Practical Engineering (4.8M), The Engineering Mindset (4.4M) -- demand for this content category is real and substantial, not limited to one channel."
NLOG-0012,NICHE-02,monetization_feasibility_score,6,1/10,EDITORIAL_OPINION,"Checked Shortimize (the same source used for Geography/Science's monetization scores) directly for a construction/engineering/infrastructure ranking -- confirmed absent",https://www.shortimize.com/blog/faceless-youtube-channel-ideas,2026-09-20,AI-assisted (Claude) -- pending human review,2026-09-20,"CONFIRMED unchanged (6): re-checked the same monetization-tier source used elsewhere in this project and confirmed by direct fetch that it does not rank construction/engineering/infrastructure content at all (only tech, finance, business are covered) -- no better public CPM-tier source exists for this niche, same structural gap as every other niche's monetization score in this project. Remains a labeled feasibility judgment, not an invented figure; no RPM/CPM/revenue number is used anywhere in this project."
NLOG-0013,NICHE-02,production_ease_cost_score,5,1/10,EDITORIAL_OPINION,"Re-confirmed against The B1M's official production description (primary)",https://www.theb1m.com/about,2026-09-20,AI-assisted (Claude) -- pending human review,2026-09-20,"CONFIRMED unchanged (5): The B1M's own official page confirms a production model involving drone/site footage, 3D renders, and an on-camera host -- a real, primary-sourced confirmation of the higher production complexity already assumed, though the score itself remains an editorial judgment call about relative ease/cost, not a directly observed cost figure."
NLOG-0014,NICHE-02,automation_capability_score,5,1/10,EDITORIAL_OPINION,,,,AI-assisted (Claude) -- pending human review,2026-09-20,"CONFIRMED unchanged (5) after the 2026-09-20 parity review: no public source quantifies automation feasibility for this niche specifically (same structural gap as this criterion across every niche in this project); remains a labeled editorial judgment, not silently upgraded. CLEANUP (2026-09-21): consulted_at cleared -- this row has no external source, so nothing was actually consulted, matching the convention used for every other pure EDITORIAL_OPINION row in this file."
NLOG-0015,NICHE-02,visual_legal_availability_score,8,1/10,OBSERVED,"Wikimedia Commons Gotthard Base Tunnel category (Stage 2 research) + Golden Gate Bridge Commons categories (new, directly fetched 2026-09-20)",https://commons.wikimedia.org/wiki/Category:Golden_Gate_Bridge,2026-09-20,AI-assisted (Claude) -- pending human review,2026-09-20,"REVISED from 7 to 8: a second, independent real megaproject was checked for parity with the multi-example verification already done for Geography and Nature/wildlife. Golden Gate Bridge Commons subcategories confirmed with substantial CC-licensed coverage (379 files in 'from Fort Point', 76 in 'elements', 44 in 'Construction of the Golden Gate Bridge', 145 'at night'), corroborating -- not just assuming from one lucky example -- that major infrastructure/engineering projects generally have strong Wikimedia Commons coverage. Caveat unchanged: some renders/footage remain proprietary to construction firms and require per-asset verification, per this project's visual-asset rights policy."
NLOG-0016,NICHE-02,long_and_shorts_potential_score,8,1/10,EDITORIAL_OPINION,"WorthWatch listicle content-style descriptions (secondary, directly fetched)",https://worthwatch.co/best-engineering-channels,2026-09-20,AI-assisted (Claude) -- pending human review,2026-09-20,"CONFIRMED unchanged (8): the confirmed real incumbent set spans both short mechanism-explainer content and long-form documentary deep-dives, supporting the original judgment with real observed format variety rather than assumption alone."
