entry_id,niche_id,channel_or_video_name,url,target_audience,language,regions,views_observed,video_age,publish_frequency,typical_duration,narrative_visual_format,hook_type,possible_revenue_sources,copyright_risk,monetization_risk,resources_needed,automation_degree,human_review_required,differentiation_opportunity,original_idea_inspired,consulted_at
CH-01,NICHE-01,RealLifeLore,https://www.youtube.com/@RealLifeLore,General/global audience interested in geopolitics and geography,en,Global,"7.9-9M subscribers (Overseeros blog range, consulted 2026-09-18 -- the actual basis for this dossier); a more precise HypeAuditor-sourced figure (~7.94M) was also seen but CANNOT be independently verified (direct fetch to hypeauditor.com returns HTTP 403 Forbidden, confirmed 2026-09-21) and is not treated as OBSERVED; direct YouTube fetch also attempted and blocked by cookie-consent wall",Channel active since 2015 (long-running),Approximately weekly (typical for this channel tier; not individually reconfirmed),10-20 minutes (typical for the channel; not individually reconfirmed),"Long-form narration over custom maps, data visualizations and B-roll","Big-question hook (e.g. 'What if...', 'Why does...')",Ads; likely sponsorships (not confirmed),"Low -- primarily original maps/data visuals, not third-party footage",Standard (not Made for Kids); no specific flags found,"Custom map/data-viz production, scriptwriting/research, narration",High for research/scripting; medium for map production,"Fact-checking, final narration/editorial review","A dedicated Europe-first, Spanish-language angle -- this channel is globally/US-oriented","[EXAMPLE IDEA, not a script] A recurring 'why does this border look like this' series for lesser-known European cases, narrated in Spanish with original maps",2026-09-18
CH-02,NICHE-01,Half as Interesting,https://www.youtube.com/@HalfAsInteresting,General audience interested in quick geographic/logistical trivia,en,Global,"2,935,101 subscribers as of June 2026 (per search, consulted 2026-09-19; direct YouTube fetch attempted and blocked by cookie-consent wall)",Channel launched August 26 2017,Roughly weekly (directly stated by a secondary source),5-12 minutes (directly stated by a secondary source),"Short-to-mid narration with witty tone, maps and graphics; sister channel of Wendover Productions",Curiosity/trivia hook ('the [oddly specific] reason why...'),Ads; cross-promotion with Wendover Productions,"Low -- graphics-driven, not third-party footage",Standard (not Made for Kids); no specific flags found,"Scriptwriting with a distinct comedic voice, graphics production, narration",High for research/scripting; medium for graphics,"Tone/humor calibration, fact-checking","Shorter, snappier format better suited to Shorts derivation than longer incumbents","[EXAMPLE IDEA, not a script] A short-form 'one weird border rule' series, one fact per video, in Spanish",2026-09-18
CH-03,NICHE-02,The B1M,https://www.youtube.com/@TheB1M,"Construction/engineering enthusiasts and professionals, global",en,Global,"4 million subscribers, 32 million viewers/month (official theb1m.com, re-confirmed by direct fetch 2026-09-20; direct YouTube fetch attempted and blocked by cookie-consent wall, same as every other niche in this project)",Channel active since 2013 (long-running),"Weekly, new videos Wednesdays 3pm UK / 10am Eastern (directly stated by official source)",Not confirmed in this pass -- REQUIRES_MANUAL_REVIEW,"CONFIRMED host-led (not faceless): documentary-style narration with an on-camera host (Fred Mills, re-confirmed 2026-09-20) plus drone/site footage and 3D renders",Landmark/record-breaking-project hook,Ads; likely brand/industry partnerships (not confirmed),Medium -- some 3D renders may be licensed from construction firms,Standard (not Made for Kids),"Site footage/drone filming, 3D rendering, host presenting, editing","Medium -- research/script assistable, footage/rendering not automatable","Host delivery, technical accuracy review, licensing checks for renders",A purely narrated (no on-camera host) format focused specifically on European projects,"[EXAMPLE IDEA, not a script] A narrated deep-dive series on lesser-covered EU infrastructure projects, no host on camera, original graphics only",2026-09-20
CH-04,NICHE-02,Ultimate Megaprojects,https://www.youtube.com/@UltimateMegaProjects,General audience interested in engineering and construction,en,Global,"Subscriber count still NOT_PUBLICLY_AVAILABLE after a repeated, dedicated search attempt 2026-09-20 (direct YouTube fetch blocked; no analytics-ranking source found for this specific channel, distinct from the larger, unrelated 'Megaprojects' channel hosted by Simon Whistler which is NOT the same channel and was not substituted in)",REQUIRES_MANUAL_REVIEW,REQUIRES_MANUAL_REVIEW,REQUIRES_MANUAL_REVIEW,"REQUIRES_MANUAL_REVIEW on faceless format (2026-09-20): described by one source as using 'a digital documentary host' with 'AI visualization' -- ambiguous whether this is a literal on-camera presenter or a synthetic/narration-only persona; not independently confirmed either way",Scale/ambition hook ('the most ambitious...'),Ads (assumed; not confirmed),Medium -- likely relies on licensed footage/renders for many projects,Standard (not Made for Kids),"Footage sourcing/licensing, narration, editing",Medium,"Licensing checks, factual review, format verification (faceless vs. digital-host)","Same gap as CH-03: a Europe-focused, unambiguously faceless narrated angle","[EXAMPLE IDEA, not a script] N/A -- overlaps with CH-03 idea above",2026-09-20
CH-05,NICHE-03,Not Just Bikes,https://www.youtube.com/@NotJustBikes,"Urbanism/transportation-policy audience, global",en,"Global, strong focus on the Netherlands","1.46 million subscribers, 204 million views (per Wikipedia, consulted 2026-09-19; direct YouTube fetch attempted and blocked by cookie-consent wall)",Channel created mid-April 2019; first video uploaded July 7 2019,REQUIRES_MANUAL_REVIEW,REQUIRES_MANUAL_REVIEW,"CONFIRMED host-led (not faceless): personal, on-camera-narrated (host Jason Slaughter) essays on Dutch urbanism vs. North American car-dependency",Personal-story/comparison hook,Ads; possibly Nebula/streaming partnership (not confirmed),Low-medium -- mix of the creator's own footage and some licensed/stock clips,Standard (not Made for Kids),"On-location filming, personal narration, editing",Low-medium -- strongly tied to the host's personal voice/experience,"Editorial framing, factual/policy accuracy review","A fully faceless, data-driven (not personal-narrative) European urbanism format","[EXAMPLE IDEA, not a script] A faceless, stats-driven 'one European city's transport system explained' series in Spanish",2026-09-18
CH-06,NICHE-03,City Beautiful,https://www.youtube.com/channel/UCGc8ZVCsrR3dAuhvUbkbToQ,Urban planning/policy audience,en,Primarily USA-focused,"Channel subscriber count is stale/inconsistent across sources: 350K (~2021-22), 651K (Jan 2024, most-dated figure found), and one undated mention of 680K/80M views -- no figure specifically dated 2025/2026 was found despite two search attempts; top video (Gary, Indiana) has over 5.7 million views (Columbus Underground, originally consulted 2026-09-18, secondary source not independently re-confirmed via direct fetch). NOTE (2026-09-20): a newer figure (740K, via WorthWatch) was incidentally observed while researching Infrastructure's competition sample, but was deliberately NOT incorporated here -- Cities/urbanism was out of scope for that pass, and this dossier was not to be updated as a side effect of unrelated research.",REQUIRES_MANUAL_REVIEW,REQUIRES_MANUAL_REVIEW,REQUIRES_MANUAL_REVIEW,"Explainer format covering transportation, land-use and urban design; host is Dave Amos (Cal Poly professor) -- CONFIRMED to feature the host, not fully faceless in all content",Case-study/problem-deep-dive hook,Ads (assumed; not confirmed),Low-medium -- maps/diagrams plus some stock footage,Standard (not Made for Kids),"Research, scripting, map/diagram production, narration",Medium-high for research/scripting,"Fact-checking, policy-accuracy review",A European-city-focused equivalent -- this channel is USA-centric,"[EXAMPLE IDEA, not a script] A case-study series on European city planning successes/failures, in Spanish",2026-09-18
CH-07,NICHE-04,Kings and Generals,https://www.youtube.com/@KingsandGenerals,"History/military-history enthusiasts, global",en,Global,"4.07 million subscribers, 1,919 videos (as of Jan 2026, per Wikitubia/search, consulted 2026-09-18)",Channel active since 2017,REQUIRES_MANUAL_REVIEW,REQUIRES_MANUAL_REVIEW,Fully faceless: animated map-based military-history documentaries with narration,Battle/campaign-narrative hook,Ads; likely Patreon/merch (not confirmed),Low -- primarily original animation and public-domain-style historical maps,Standard (not Made for Kids),"Team-based: scriptwriters, animators, voice actors (per search)",Medium for research/script; low for the detailed animation style,"Historical accuracy review, script/editorial review",A Europe-and-Spanish-language angle on lesser-covered (non-military-focused) European history,"[EXAMPLE IDEA, not a script] A non-military 'how this European border/region got its shape' animated history series in Spanish",2026-09-18
CH-08,NICHE-04,The Armchair Historian,https://www.youtube.com/channel/UCeUJFQ0D9qs6aVNyUt9fkeQ,"History enthusiasts, global",en,Global,"2.49 million subscribers (per search, consulted 2026-09-18)","Channel active 2016-2025; announced indefinite hiatus December 2025, no new uploads planned for 2026 (per Dexerto, consulted 2026-09-18)",N/A -- channel on hiatus,REQUIRES_MANUAL_REVIEW,"Fully faceless: animated documentaries about armed conflicts, framed through personal/lived experience",Human-perspective/emotional hook,Ads; company (Armchair Historian LLC) revenue streams not disclosed,Low -- primarily original animation,Standard (not Made for Kids),"Founder-led production company: animation, narration, research",Medium for research/script; low for animation,"Historical accuracy, editorial review","IMPORTANT RISK SIGNAL: even a well-resourced, successful channel in this niche went on indefinite hiatus -- a real sustainability warning for this niche, not just a topic-supply question","[EXAMPLE IDEA, not a script] N/A -- see sustainability risk note instead",2026-09-18
CH-09,NICHE-05,Kurzgesagt - In a Nutshell,https://www.youtube.com/@kurzgesagt,General audience interested in science and the future,en,Global,Multi-million subscriber channel; exact current count NOT independently re-verified in this pass -- REQUIRES_MANUAL_REVIEW,Channel active since 2013,REQUIRES_MANUAL_REVIEW,REQUIRES_MANUAL_REVIEW,Fully faceless: original colorful animation with narration explaining complex science topics,Big-question/existential hook,Ads; well-documented Patreon/merch/grant funding (not quantified here),Low -- fully original animation,Standard (not Made for Kids),"Large in-house animation studio, research team, narration",Low -- highly bespoke original animation is not automatable to this quality bar,"Scientific accuracy review (the channel is known for citing sources), editorial review",N/A -- extremely high production bar makes direct competition impractical for a small operation,N/A,2026-09-18
CH-10,NICHE-05,Animagraffs,https://www.youtube.com/@animagraffs,General audience interested in detailed technical/mechanical explainers,en,Global,"1.7 million subscribers, 146 million views (per search, consulted 2026-09-18)",REQUIRES_MANUAL_REVIEW,REQUIRES_MANUAL_REVIEW,REQUIRES_MANUAL_REVIEW,Fully faceless: highly detailed original animated diagrams with narration,'How X actually works' hook,Ads (assumed; not confirmed),Low -- original animation,Standard (not Made for Kids),"Detailed original animation, research, narration",Low -- bespoke animation style is not easily automatable,Technical accuracy review,N/A -- similar high production bar to Kurzgesagt,N/A,2026-09-18
CH-11,NICHE-06,Economics Explained,https://www.youtube.com/@EconomicsExplained,General audience interested in economics/finance/geopolitics,en,Global,"2,884,738 subscribers as of September 2026, ranked #5,304 worldwide (per search, consulted 2026-09-19; direct YouTube fetch attempted and blocked by cookie-consent wall); 424 videos, 359.3 million total views per prior pass",Channel active since 2018 (as 'JitaLounge' originally),REQUIRES_MANUAL_REVIEW,REQUIRES_MANUAL_REVIEW,Fully faceless: animated videos explaining economic topics per country/region,Country-case-study hook,Ads; likely sponsorships (not confirmed),"Low -- charts, graphics, flags/maps",Standard (not Made for Kids),"Research, scriptwriting, chart/graphic production, narration",High -- data-driven scripts and charts are well-suited to AI/automation assistance,"Data accuracy/source verification, editorial review",A Europe-first angle using Eurostat data specifically (already demonstrated feasible in this project's Stage 2),"[EXAMPLE IDEA, not a script] A recurring 'this EU country's economy in 10 minutes' series, in Spanish, sourced from Eurostat",2026-09-18
